id,goodsCode,goodsCodeType,goodsBasicName,goodsBasicType,goodsBasicDesc,goodsMerchantId,merchantName,merchantPersonName,goodsUnit,goodsSize,goodsPrice,goodsGuaranteeLength,useGoodsCount
561,8.52821E+11,NULL,迪菲娜蜗牛原液头皮唤活滋润洗发露680ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*24,1,5,561
563,8.52821E+11,NULL,迪菲娜茶树原液头皮净爽去屑洗发露680ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*24,1,5,563
570,4.8967E+12,NULL,莎曼琪青春肽焕颜雪花水100ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*15,1,3,570
572,4.8967E+12,NULL,莎曼琪青春肽焕颜新肌套盒5ml*10支+40ml+25ml*10片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*10,1,5,572
577,4.89704E+12,1,NAK香氛诱惑沐浴露（纵享幽莲）550ml,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,577
579,4.89704E+12,NULL,NAK无硅油轻盈洗护套装（洗发露+润发精华）580g+580g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,套,1*12,1,5,579
586,4.89704E+12,NULL,NAK奢享丝滑滋润洗发乳650ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,586
588,4.89704E+12,NULL,NAK珍品橄榄无屑洗发露580ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,588
595,4.89708E+12,NULL,傲漾奢香沐浴露（浪漫邂逅）600ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*24,1,5,595
597,4.89708E+12,NULL,傲漾姜汁奢养洗发露（丝质顺滑）900ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*15,1,3,597
602,6.90008E+12,NULL,隆力奇蛇油果酸护手霜100g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*36,1,5,602
604,6.90008E+12,NULL,隆力奇蛇油SOD蜜200ML,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*24,1,5,604
611,6.90008E+12,1,隆力奇驱蚊花露水 （玻璃瓶，AA版）,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,195ml*30,1,5,611
613,6.90008E+12,NULL,隆力奇蛇胆甘草儿童浴波（AA版）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,（200ml+60ml）*24,1,3,613
620,6.90008E+12,NULL,隆力奇清凉爽肤浴露1L,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*12,1,3,620
622,6.90008E+12,NULL,隆力奇牛奶润肤浴露1L,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*12,1,3,622
627,6.90008E+12,NULL,隆力奇新活力去屑洗发露（丝质柔滑）400ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*18,1,3,0
629,6.90008E+12,NULL,隆力奇冬季护手特惠装50g*2+30g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,套,1*24,1,5,629
636,6.90008E+12,NULL,隆力奇蛇油壹号 80ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,80ml*80,1,3,636
638,6.90184E+12,1,霞飞水果护唇膏2.5g,1,,86,重庆市展鹿商贸有限公司,NULL,支,12*24,1,3,638
645,6.90399E+12,NULL,史努比清爽控油洁面乳,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,80g1×8×12,1,3,0
647,6.90399E+12,NULL,史努比BABY倍护洗发＆沐浴精(0-12个月),1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,300ml*24,1,3,0
652,6.90492E+12,NULL,蜂花植物精华护发素500ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,0
654,6.90492E+12,NULL,蜂花首乌润发护发素458ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,0
661,6.90833E+12,NULL,索芙特防脱育发香波(专业版),1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,600g*12,1,3,661
663,6.90833E+12,1,索芙特玫瑰香熏香浴露,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,1kg*15,1,5,663
670,6.91002E+12,NULL,100年润发男士调理洗发露（美洲青柠控油）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,200g*12,1,3,0
672,6.91002E+12,NULL,100年润发男士调理洗发露（澳洲茶树去屑）,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,200g*12,1,3,0
677,6.91002E+12,NULL,100年润发净萃控油洗发露N3,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,400g*12,1,3,677
679,6.91002E+12,NULL,100年柔亮洗发露+100g强韧洗发+100g柔亮精华(盒)N3,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,（400g+100g+100g）*12,1,3,679
681,6.91002E+12,NULL,100年润发清新去屑洗发露N3,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,400g*12,1,3,681
686,6.91165E+12,NULL,鳄鱼宝宝婴儿护肤湿巾80片,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,686
688,6.91165E+12,NULL,鳄鱼宝宝牛奶洗发沐浴露(加量装)500g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*3*3,1,5,688
695,6.91165E+12,NULL,鳄鱼宝宝儿童玉米清凉热痱粉100g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,695
697,6.91165E+12,NULL,鳄鱼宝宝婴儿草本无醇花露水120ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,1,3,697
702,6.91165E+12,NULL,鳄鱼宝宝橄榄儿童营养滋润霜（奇异果）25g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,1,3,702
704,6.91165E+12,NULL,鳄鱼宝宝婴儿去痱清凉花露水180ML,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*48,1,3,704
706,6.91165E+12,NULL,鳄鱼宝宝婴儿芦荟深度保湿霜25g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*12*4,1,5,706
711,6.91165E+12,NULL,鳄鱼宝宝青苹果沐浴露,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1.1kg*12,1,5,711
713,6.9184E+12,NULL,标榜沙龙深层修护润发乳,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,450ml*24,1,3,0
565,8.52821E+11,NULL,迪菲娜蜗牛原液头皮唤活滋润套装680ml+380ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,4,565
566,8.52821E+11,NULL,迪菲娜原液香恋洗沐套装680ml+680ml+60ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,4,566
567,8.52821E+11,NULL,迪菲娜葡萄籽清爽去屑洗发露800ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,4,567
568,8.52821E+11,1,迪菲娜阿甘油丰盈强韧洗发露800ml,1,,86,重庆市展鹿商贸有限公司,NULL,个,1*12,1,4,568
581,4.89704E+12,NULL,NAK丝质轻盈发膜450ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*36,1,5,581
582,4.89704E+12,NULL,NAK奢享丰盈去屑洗发乳650ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,582
583,4.89704E+12,NULL,NAK奢享香水滋润沐浴乳（甜蜜诱惑）600ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,583
584,4.89704E+12,NULL,NAK奢享香水盈润沐浴露（妩媚浓情）600ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*24,1,4,584
598,4.89708E+12,NULL,傲漾至尊金箔洗发露（水润去屑）800ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*15,1,3,598
599,4.89708E+12,NULL,傲漾至尊金箔保湿香氛沐浴露（可可香奈）800ml,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*15,1,3,599
600,5.71222E+12,NULL,索芙特克伦柏彩漂护色洗衣液（进口事业部）1.5L,1,NULL,86,重庆市展鹿商贸有限公司,NULL,个,1*10,1,5,600
601,6.90008E+12,NULL,隆力奇蛇油果酸护手霜50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*36,1,5,601
615,6.90008E+12,NULL,隆力奇蛇油护手霜50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*36,1,5,615
616,6.90008E+12,NULL,隆力奇黑芝麻洗发水700ml+300m,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*12,1,3,616
617,6.90008E+12,NULL,隆力奇牛奶润肤露1.8L,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*6,1,3,617
618,6.90008E+12,NULL,隆力奇蛇胆男士SOD蜜90ML,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,1*50,1,5,618
631,6.90008E+12,1,隆力奇蛇胆花露水（PET瓶，AB版）,1,,86,重庆市展鹿商贸有限公司,NULL,瓶,95ml*30,1,3,631
632,6.90008E+12,NULL,隆力奇蛇胆清凉草本止痒凝露,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,60ml*36,1,3,632
633,6.90008E+12,NULL,隆力奇手悦金盏花魔力抗皱精华手霜75g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*36,1,5,633
634,6.90008E+12,NULL,隆力奇手悦薰衣草舒润滋养精华手霜75g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,支,1*36,1,5,634
635,6.90008E+12,NULL,隆力奇裂可宁霜 50g,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,50g*120,1,3,635
648,6.90399E+12,NULL,史努比BABY倍护爽身粉,1,NULL,86,重庆市展鹿商贸有限公司,NULL,瓶,140g*48,1,3,648
