,库位,,,,,,,分区,仓库,
431,B-14-07,40:54.4,NULL,NULL,17,NULL,NULL,NULL,NULL,0
432,C-17-02,40:55.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
433,B-16-04,40:55.5,NULL,NULL,17,NULL,NULL,NULL,NULL,0
434,B-16-05,40:56.2,NULL,NULL,17,NULL,NULL,NULL,NULL,0
448,C-17-06,41:03.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
449,C-17-05,41:03.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
450,B-15-06,41:03.9,NULL,NULL,17,NULL,NULL,NULL,NULL,0
451,C-17-04,41:04.4,NULL,NULL,18,NULL,NULL,NULL,NULL,0
464,E-02-04,41:13.0,NULL,NULL,21,NULL,NULL,NULL,NULL,0
465,E-02-10,41:13.3,NULL,NULL,21,NULL,NULL,NULL,NULL,0
466,C-02-11,41:13.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
467,E-02-09,41:14.0,NULL,NULL,21,NULL,NULL,NULL,NULL,0
481,E-04-06,41:20.6,NULL,NULL,21,NULL,NULL,NULL,NULL,0
482,E-01-02,41:21.3,NULL,NULL,21,NULL,NULL,NULL,NULL,0
483,E-03-15,41:21.9,NULL,NULL,21,NULL,NULL,NULL,NULL,0
484,E-01-04,41:22.5,NULL,NULL,21,NULL,NULL,NULL,NULL,0
498,E-06-03,41:28.9,NULL,NULL,21,NULL,NULL,NULL,NULL,0
499,E-04-02,41:29.2,NULL,NULL,21,NULL,NULL,NULL,NULL,0
500,E-03-04,41:29.6,NULL,NULL,21,NULL,NULL,NULL,NULL,0
501,E-06-04,41:30.1,NULL,NULL,21,NULL,NULL,NULL,NULL,0
514,E-06-05,41:34.9,NULL,NULL,21,NULL,NULL,NULL,NULL,0
515,E-07-02,41:35.2,NULL,NULL,21,NULL,NULL,NULL,NULL,0
516,E-07-04,41:35.5,NULL,NULL,21,NULL,NULL,NULL,NULL,0
517,E-08-01,41:35.9,NULL,NULL,21,NULL,NULL,NULL,NULL,0
518,E-08-03,41:36.2,NULL,NULL,21,NULL,NULL,NULL,NULL,0
531,C-20-03,41:43.2,NULL,NULL,18,NULL,NULL,NULL,NULL,0
532,D-09-04,41:43.7,NULL,NULL,19,NULL,NULL,NULL,NULL,0
533,C-21-03,41:44.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
534,D-10-05,41:44.7,NULL,NULL,19,NULL,NULL,NULL,NULL,0
548,D-10-02,41:52.8,NULL,NULL,19,NULL,NULL,NULL,NULL,0
549,D-08-02,41:53.4,NULL,NULL,19,NULL,NULL,NULL,NULL,0
550,D-08-03,41:53.7,NULL,NULL,19,NULL,NULL,NULL,NULL,0
551,D-08-04,41:54.0,NULL,NULL,19,NULL,NULL,NULL,NULL,0
565,C-18-02,42:00.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
566,C-19-04,42:00.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
567,C-19-05,42:01.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
568,D-08-01,42:01.5,NULL,NULL,19,NULL,NULL,NULL,NULL,0
581,T-03-03,42:20.7,,,23,,,T区,展鹿赠品物料仓库,581
582,T-03-04,42:21.0,,,23,,,T区,展鹿赠品物料仓库,582
583,T-03-01,42:21.4,,,23,,,T区,展鹿赠品物料仓库,583
584,T-03-05,42:21.9,,,23,,,T区,展鹿赠品物料仓库,584
598,E-07-10,42:28.0,NULL,NULL,21,NULL,NULL,NULL,NULL,0
599,E-08-06,42:28.5,NULL,NULL,21,NULL,NULL,NULL,NULL,0
600,E-08-07,42:28.8,NULL,NULL,21,NULL,NULL,NULL,NULL,0
601,E-08-09,42:29.2,NULL,NULL,21,NULL,NULL,NULL,NULL,0
615,A-03-07,42:34.9,NULL,NULL,16,NULL,NULL,NULL,NULL,0
616,A-03-08,42:35.5,NULL,NULL,16,NULL,NULL,NULL,NULL,0
617,C-01-06,42:41.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
618,A-06-03,42:42.2,NULL,NULL,16,NULL,NULL,NULL,NULL,0
631,C-14-06,42:59.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
632,C-14-04,43:00.3,NULL,NULL,18,NULL,NULL,NULL,NULL,0
633,C-15-03,43:00.7,NULL,NULL,18,NULL,NULL,NULL,NULL,0
634,C-15-16,43:01.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
635,C-14-13,43:02.1,NULL,NULL,18,NULL,NULL,NULL,NULL,0
648,C-16-12,43:08.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
649,C-15-07,43:08.9,NULL,NULL,18,NULL,NULL,NULL,NULL,0
650,C-05-12,43:09.5,NULL,NULL,18,NULL,NULL,NULL,NULL,0
651,C-16-02,43:10.0,NULL,NULL,18,NULL,NULL,NULL,NULL,0
665,B-03-08,43:18.9,NULL,NULL,17,NULL,NULL,NULL,NULL,0
666,A-04-08,43:19.8,NULL,NULL,16,NULL,NULL,NULL,NULL,0
667,A-02-01,43:20.4,NULL,NULL,16,NULL,NULL,NULL,NULL,0
668,A-10-03,43:21.3,NULL,NULL,16,NULL,NULL,NULL,NULL,0
682,A-15-04,43:33.5,NULL,NULL,16,NULL,NULL,NULL,NULL,0
683,A-15-08,43:35.3,NULL,NULL,16,NULL,NULL,NULL,NULL,0
684,A-15-06,43:36.2,NULL,NULL,16,NULL,NULL,NULL,NULL,0
685,D-01-04,43:37.2,NULL,NULL,19,NULL,NULL,NULL,NULL,0
698,C-02-03,43:53.6,NULL,NULL,18,NULL,NULL,NULL,NULL,0
