id,storeName,storeAddress,storeCreatetime,storeUpdatetime,storePhone,storeDesc,storeArea,storeOrg,storePersonName,distributeType,channel,merchantName
190,摩尔平昌新平店,四川巴中平昌县新平街摩尔赛尔购物中心,43:50.2,45:41.7,18282714946,包场摩尔赛尔平昌新平店,NULL,包场,罗群林,2,通重天鹤万顺,NULL
191,摩尔平昌骏东店,四川巴中平昌县新华街东段摩尔超市,46:34.8,45:30.9,18282714946,包场摩尔赛尔平昌骏东店,NULL,包场,罗群林,2,通重天鹤万顺,NULL
192,摩尔平昌农场店,四川巴中平昌县新华街东段摩尔超市,46:34.8,45:20.6,18282714946,包场摩尔赛尔平昌农场店,NULL,包场,罗群林,2,通重天鹤万顺,NULL
193,摩尔平昌信义店,四川巴中平昌县新华街信义大道摩尔超市,46:34.8,01:55.3,18282714946,包场摩尔赛尔平昌信义店,NULL,包场,罗群林,2,通重天鹤万顺,NULL
194,摩尔平昌水木清华店,四川巴中平昌县新华街平安巷摩尔超市,46:34.8,44:57.0,18282714946,包场摩尔赛尔平昌水木清华店,NULL,包场,罗群林,2,通重天鹤万顺,NULL
195,富源蓬安店,四川省南充市蓬安县富源购物广场嘉陵中路85号,46:34.8,32:34.2,18081583237,富源超市蓬安店,NULL,包场,周云兰,2,真诚物流,NULL
196,富源南部店,四川省南部县振兴南段富源购物广场丝绸街1号,46:34.9,17:22.3,18086925828,富源超市南部店,NULL,包场,邓传美,2,真诚物流,NULL
198,富源营山二店,四川省营山县景阳路惠家购物中心,46:34.9,32:10.7,13890846949,富源超市营山二店,NULL,包场,冯友兰,2,真诚物流,NULL
199,富源资中店,内江市资中县富源惠家购物中心,46:34.9,00:43.9,15983279258,包场富源超市资中店,NULL,包场,张俊仙,2,广汇物流,NULL
200,摩尔隆昌一店,四川省隆昌市金鹅镇竹市街,46:34.9,24:01.7,13330709980,包场摩尔赛尔隆昌一店,NULL,包场,杨芬,2,隆发物流,NULL
201,摩尔隆昌二店,四川省隆昌市金鹅镇鹅江花园,46:34.9,21:48.4,18683287360,包场摩尔赛尔隆昌二店,NULL,包场,梁多聪,2,隆发物流,NULL
202,摩尔隆昌南街店,四川省内江隆昌市金鹅镇大南街综合市场,46:35.0,23:45.9,13541624286,包场摩尔赛尔隆昌南街店,NULL,包场,曾远南,2,隆发物流,NULL
203,摩尔彭山一店,四川省眉山市彭山区北街,46:35.0,18:57.7,18990305904,包场摩尔赛尔彭山一店,NULL,包场,龚忠英,2,汇运物流,NULL
204,摩尔彭山二店,四川省眉山市彭山区锦江大道蓝湾风景,46:35.0,19:18.1,18990305904,包场摩尔赛尔彭山二店,NULL,包场,龚忠英,2,汇运物流,NULL
205,摩尔武侯区李家祠店,成都市武侯区凉水井月月红超市,46:35.0,00:52.7,13688001338,包场成都李家祠店,NULL,包场,刘兴平,2,余氏东风,NULL
208,南岸茶园郭瑞文,,06:19.8,12:13.2,13883032585,,NULL,分销客户,郭瑞文,1,,NULL
209,陈家桥大学城高燕,,06:19.8,19:59.3,1,,NULL,陈家桥大学城高燕,1,2,,NULL
210,成都世泽尚秀商贸有限公司（于宪政）,,06:19.8,19:44.6,1,,NULL,成都世泽尚秀商贸有限公司（于宪政,1,2,,NULL
211,垫江好好化妆廖怡辉,,06:19.8,19:21.5,1,,NULL,垫江好好化妆廖怡辉,1,2,,NULL
212,李渡蔺市镇刘锐,,06:19.8,17:46.8,1,,NULL,李渡蔺市镇刘锐,1,1,,NULL
213,刘杰,,06:19.8,35:37.2,0,自提,NULL,分销,0,1,,NULL
214,彭水范江波,,06:19.8,09:01.0,13983671800,,NULL,分销客户,范江波,2,迪丰物流,NULL
